Agency Name,City,State,Program Started,Cameras Deployed,Program Status,Total Officers,Patrol Officers,# Cameras Purchased,# Cameras Deployed,Policy Link,Camera Supplier,Footage subject to open records law?,Notes on disclosure,Contract link,Cost,Notes on Cost,Related Link 1,Related Link 2,Related Link 3,Source,Entered By,Notes,
BETHEL POLICE DEPT,Bethel,AK,,,,,,,,,,,,,,,,,,BJS,,,
CORDOVA POLICE DEPT,Cordova,AK,,,,,,,,,,,,,,,,,,BJS,,,
NORTH POLE POLICE DEPT,North Pole,AK,,,,,,,,,,,,,,,,,,BJS,,,
ALBERTVILLE POLICE DEPT,Albertville,AL,,,,,,,,,,,,,,,,,,BJS,,,
ALEXANDER CITY POLICE DEPT,Alexander City,AL,,,,,,,,,,,,,,,,,,BJS,,,
ARGO POLICE DEPT,Trussville,AL,,,,,,,,,,,,,,,,,,BJS,,,
ASHVILLE POLICE DEPT,Ashville,AL,,,,,,,,,,,,,,,,,,BJS,,,
ATHENS POLICE DEPT,Athens,AL,,,,,,,,,,,,,,,http://whnt.com/2016/02/24/athens-police-to-release-body-camera-footage-from-officers-who-restrained-patient-at-hospital/,,,BJS,,News reports confirm program exists.,
BALDWIN COUNTY SHERIFFS OFFICE,Bay Minette,AL,,,,,,,,,,,,,,,,,,BJS,,,
BERRY POLICE DEPT,Berry,AL,,,,,,,,,,,,,,,,,,BJS,,,
BROOKWOOD POLICE DEPT,Brookwood,AL,,,,,,,,,,,,,,,,,,BJS,,,
CALERA POLICE DEPT,Calera,AL,,,,,,,,,,,,,,,,,,BJS,,,
CAMDEN POLICE DEPT,Camden,AL,,,,,,,,,,,,,,,,,,BJS,,,
CLAY COUNTY SHERIFFS OFFICE,Ashland,AL,,,,,,,,,,,,,,,,,,BJS,,,
CULLMAN COUNTY SHERIFFS OFFICE,Cullman,AL,,,,,,,,,,,,,,,,,,BJS,,,
DADEVILLE POLICE DEPT,Dadeville,AL,,,,,,,,,,,,,,,,,,BJS,,,
DECATUR POLICE DEPT,Decatur,AL,,,,,,,,,,,,,,,,,,BJS,,,
DOTHAN POLICE DEPT,Dothan,AL,,,,,,,,,,,,,,,,,,BJS,,,
DOZIER POLICE DEPT,Dozier,AL,,,,,,,,,,,,,,,,,,BJS,,,
FLOMATON POLICE DEPT,Flomaton,AL,,,,,,,,,,,,,,,,,,BJS,,,
GUNTERSVILLE POLICE DEPT,Guntersville,AL,,,,,,,,,,,,,,,,,,BJS,,,
HALE COUNTY SHERIFFS OFFICE,Greensboro,AL,,,,,,,,,,,,,,,,,,BJS,,,
HENAGAR POLICE DEPT,Henagar,AL,,,,,,,,,,,,,,,,,,BJS,,,
HENRY COUNTY SHERIFFS OFFICE,Abbeville,AL,,,,,,,,,,,,,,,,,,BJS,,,
HOLLYWOOD POLICE DEPT,Hollywood,AL,,,,,,,,,,,,,,,,,,BJS,,,
LAUDERDALE COUNTY SHERIFFS OFFICE,Florence,AL,,,,,,,,,,,,,,,,,,BJS,,,
LEE COUNTY SHERIFFS OFFICE,Opelika,AL,,,,,,,,,,,,,,,,,,BJS,,,
LINEVILLE POLICE DEPT,Lineville,AL,,,,,,,,,,,,,,,,,,BJS,,,
LOCKHART POLICE DEPT,Lockhart,AL,,,,,,,,,,,,,,,,,,BJS,,,
MOBILE POLICE DEPT,Mobile,AL,,,,,,,,,,,,,,,,,,BJS,,,
MONROEVILLE POLICE DEPT,Monroeville,AL,,,,,,,,,,,,,,,,,,BJS,,,
MOUNT VERNON POLICE DEPT,Mount Vernon,AL,,,,,,,,,,,,,,,,,,BJS,,,
ONEONTA POLICE DEPT,Oneonta,AL,,,,,,,,,,,,,,,,,,BJS,,,
PLEASANT GROVE POLICE DEPT,Pleasant Grove,AL,,,,,,,,,,,,,,,,,,BJS,,,
RED BAY POLICE DEPT,Red Bay,AL,,,,,,,,,,,,,,,,,,BJS,,,
RUSSELL COUNTY SHERIFFS OFFICE,Phenix City,AL,,,,,,,,,,,,,,,,,,BJS,,,
SATSUMA POLICE DEPT,Satsuma,AL,,,,,,,,,,,,,,,,,,BJS,,,
SELMA POLICE DEPT,Selma,AL,,,,,,,,,,,,,,,,,,BJS,,,
VALLEY HEAD POLICE DEPT,Valley Head,AL,,,,,,,,,,,,,,,,,,BJS,,,
VESTAVIA HILLS POLICE DEPT,Vestavia Hills,AL,,,,,,,,,,,,,,,,,,BJS,,,
Littleville Police Department,Littleville,AL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
BEARDEN POLICE DEPT,Bearden,AR,,,,,,,,,,,,,,,,,,BJS,,,
BENTON POLICE DEPT,Benton,AR,,,,,,,,,,,,,,,,,,BJS,,,
CARLISLE POLICE DEPT,Carlisle,AR,,,,,,,,,,,,,,,,,,BJS,,,
CARROLL COUNTY SHERIFFS OFFICE,Berryville,AR,,,,,,,,,,,,,,,,,,BJS,,,
CLAY COUNTY SHERIFFS OFFICE,Piggott,AR,,,,,,,,,,,,,,,,,,BJS,,,
CRAIGHEAD COUNTY SHERIFFS OFFICE,Jonesboro,AR,,,,,,,,,,,,,,,,,,BJS,,,
DE QUEEN POLICE DEPT,DeQueen,AR,,,,,,,,,,,,,,,,,,BJS,,,
EL DORADO POLICE DEPT,El Dorado,AR,,,,,,,,,,,,,,,,,,BJS,,,
FARMINGTON POLICE DEPT,Farmington,AR,,,,,,,,,,,,,,,,,,BJS,,,
FAYETTEVILLE POLICE DEPT,Fayetteville,AR,,,,,,,,,,,,,,,,,,BJS,,,
FLIPPIN POLICE DEPT,Flippin,AR,,,,,,,,,,,,,,,,,,BJS,,,
FORT SMITH POLICE DEPT,Fort Smith,AR,,,,,,,,,,,,,,,,,,BJS,,,
FULTON COUNTY SHERIFFS DEPT,Salem,AR,,,,,,,,,,,,,,,,,,BJS,,,
HAMBURG POLICE DEPT,Hamburg,AR,,,,,,,,,,,,,,,,,,BJS,,,
JONESBORO POLICE DEPT,Jonesboro,AR,,,,,,,,,,,,,,,,,,BJS,,,
LAMAR POLICE DEPT,Lamar,AR,,,,,,,,,,,,,,,,,,BJS,,,
LAWRENCE COUNTY SHERIFFS DEPT,Walnut Ridge,AR,,,,,,,,,,,,,,,,,,BJS,,,
MALVERN POLICE DEPT,Malvern,AR,,,,,,,,,,,,,,,,,,BJS,,,
MULBERRY POLICE DEPT,Mulberry,AR,,,,,,,,,,,,,,,,,,BJS,,,
NEVADA COUNTY SHERIFFS DEPT,Prescott,AR,,,,,,,,,,,,,,,,,,BJS,,,
NORTH LITTLE ROCK POLICE DEPT,North Little Rock,AR,,,,,,,,,,,,,,,,,,BJS,,,
PATTERSON POLICE DEPT,Patterson,AR,,,,,,,,,,,,,,,,,,BJS,,,
PRAIRIE GROVE POLICE DEPT,Prairie Grove,AR,,,,,,,,,,,,,,,,,,BJS,,,
SPRINGDALE POLICE DEPT,Springdale,AR,,,,,,,,,,,,,,,,,,BJS,,,
WALDO POLICE DEPT,Waldo,AR,,,,,,,,,,,,,,,,,,BJS,,,
WALDRON POLICE DEPT,Waldron,AR,,,,,,,,,,,,,,,,,,BJS,,,
Faulkner County Sheriff's Office,Conway,AR,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Huntington Police Department,Huntington,AR,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Leachville Police Department,Leachville,AR,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
APACHE JUNCTION POLICE DEPT,Apache Junction,AZ,,,,,,,,,,,,,,,,,,BJS,,,
Arizona Dept of Public Safety,Phoenix,AZ,,,,,,,,,,,,,,,,,,BJS,,,
CAMP VERDE MARSHAL'S OFFICE,Camp Verde,AZ,,,,,,,,,,,,,,,,,,BJS,,,
COCONINO COUNTY SHERIFFS OFFICE,Flagstaff,AZ,,,,,,,,,,,,,,,,,,BJS,,,
FLORENCE POLICE DEPT,Florence,AZ,,,,,,,,,,,,,,,,,,BJS,,,
MESA POLICE DEPT,Mesa,AZ,,,,,,,,,,,,,,,,,,BJS,,,
MIAMI POLICE DEPT,Miami,AZ,,,,,,,,,,,,,,,,,,BJS,,,
ORO VALLEY POLICE DEPT,Oro Valley,AZ,,,,,,,,,,,,,,,,,,BJS,,,
PARKER POLICE DEPT,Parker,AZ,,,,,,,,,,,,,,,,,,BJS,,,
QUARTZSITE POLICE DEPT,Quartzsite,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SAHUARITA POLICE DEPT,Sahuarita,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SALT RIVER TRIBAL POLICE DEPT,Scottsdale,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SCOTTSDALE POLICE DEPT,Scottsdale,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SIERRA VISTA POLICE DEPT,Sierra Vista,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SOMERTON POLICE DEPT,Somerton,AZ,,,,,,,,,,,,,,,,,,BJS,,,
SURPRISE POLICE DEPT,Surprise,AZ,,,,,,,,,,,,,,,,,,BJS,,,
TUCSON POLICE DEPT,Tucson,AZ,,,,,,,,,,,,,,,,,,BJS,,,
YUMA COUNTY SHERIFFS OFFICE,Yuma,AZ,,,,,,,,,,,,,,,,,,BJS,,,
Phoenix Police Department,Phoenix,AZ,,,,2979,,150,,Phoenix,,,,,,,,,,Campaign Zero,Rachel Alexander,,
ALAMEDA COUNTY SHERIFFS DEPT,Oakland,CA,,2010,ACTIVE,,,,,,,,,,,,http://kalw.org/post/oakland-body-cameras-offer-glimpses-officer-involved-deaths#stream/0,,,BJS,,,
ALAMEDA POLICE DEPT,Alameda,CA,,,,,,,,,,,,,,,,,,BJS,,,
ATWATER POLICE DEPT,Atwater,CA,,,,,,,,,,,,,,,,,,BJS,,,
